,Const.No.,Constituency,Loser,Loser_Party,Margin,Previous_Margin,Previous_Winner,Previous_Winner_Party,State,Winner,Winner_Party
430,182,Jahazpur,DHEERAJ GURJAR,Indian National Congress,13253,4262,DHIRAJ GURJAR,Indian National Congress,Rajasthan,GOPI CHAND MEENA,Bharatiya Janata Party
431,132,Jaisalmer,SANGSINGH BHATI,Bharatiya Janata Party,29778,2867,CHHOTU SINGH,Bharatiya Janata Party,Rajasthan,ROOPARAM,Indian National Congress
432,116,Jaitaran,DILIP CHOUDHARY,Indian National Congress,12188,34874,SURENDRA GOYAL,Bharatiya Janata Party,Rajasthan,AVINASH,Bharatiya Janata Party
433,142,Jalore ,MANJU MEGHWAL,Indian National Congress,35234,46800,AMRITA MEGHWAL,Bharatiya Janata Party,Rajasthan,JOGESHWAR GARG,Bharatiya Janata Party
434,48,Jamwa ramgarh ,MAHENDRA PAL MEENA,Bharatiya Janata Party,21684,31901,JAGDISH NARAYAN ,Bharatiya Janata Party,Rajasthan,GOPAL LAL MEENA,Indian National Congress
435,108,Jayal ,ANIL,Rashtriya Loktantrik Party,18604,13109,DR. MANJU BAGHMAR,Bharatiya Janata Party,Rajasthan,MANJU DEVI,Indian National Congress
436,150,Jhadol  ,SUNIL KUMAR BHAJAT,Indian National Congress,12947,4684,HEERALAL DARANGI,Indian National Congress,Rajasthan,BABU LAL,Bharatiya Janata Party
437,198,Jhalrapatan,MANVENDRA SINGH,Indian National Congress,34980,60896,VASUNDHRA RAJE,Bharatiya Janata Party,Rajasthan,VASUNDHARA RAJE,Bharatiya Janata Party
438,46,Jhotwara,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,10747,19602,RAJPAL SINGH SHEKHAWAT,Bharatiya Janata Party,Rajasthan,LALCHAND KATARIA,Indian National Congress
439,27,Jhunjhunu,RAJENDRA SINGH BHAMBOO,Bharatiya Janata Party,40565,18412,BRIJENDRA SINGH OLA,Indian National Congress,Rajasthan,BRIJENDRA SINGH OLA,Indian National Congress
440,128,Jodhpur,ATUL BHANSALI,Bharatiya Janata Party,5849,14510,KAILASH BHANSHALI,Bharatiya Janata Party,Rajasthan,MANISHA PANWAR,Indian National Congress
441,70,Kaman,JAWAHAR SINGH BEADHAM,Bharatiya Janata Party,39621,3357,KU. JAGAT SINGH,Bharatiya Janata Party,Rajasthan,ZAHIDA KHAN,Indian National Congress
442,167,Kapasan,ANANDI RAM,Indian National Congress,7002,30246,ARJUN LAL JEENGAR,Bharatiya Janata Party,Rajasthan,ARJUN LAL JINGAR,Bharatiya Janata Party
443,3,Karanpur,PRITHIPAL SINGH,Independent,28376,3853,SURENDER PAL SINGH,Bharatiya Janata Party,Rajasthan,GURMEET SINGH KOONER,Indian National Congress
444,83,Karauli,DARSHAN SINGH,Indian National Congress,9562,17167,DARSHAN SINGH,Indian National Congress,Rajasthan,LAKHAN SINGH,Bahujan Samaj Party
445,69,Kathumar ,BABULAL MANAGER,Bharatiya Janata Party,14168,15730,MANGAL RAM,Bharatiya Janata Party,Rajasthan,BABULAL,Indian National Congress
446,105,Kekri ,RAJENDRA VINAYAKA,Bharatiya Janata Party,19461,8867,SHATRUGHAN GAUTAM,Bharatiya Janata Party,Rajasthan,RAGHU SHARMA,Indian National Congress
447,185,Keshoraipatan ,RAKESH BOYAT,Indian National Congress,7119,12731,BABOO LAL VERMA,Bharatiya Janata Party,Rajasthan,CHANDRAKANTA MEGHWAL,Bharatiya Janata Party
448,12,Khajuwala ,DR. VISHWANATH,Bharatiya Janata Party,31089,8357,VISHWANATH,Bharatiya Janata Party,Rajasthan,GOVIND RAM,Indian National Congress
449,93,Khandar,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,27949,19342,JITENDRA KUMAR GOTHWAL,Bharatiya Janata Party,Rajasthan,ASHOK,Indian National Congress
450,37,Khandela,BANSHIDHAR BAJIYA,Bharatiya Janata Party,4348,35394,BANSHIDHAR,Bharatiya Janata Party,Rajasthan,MAHADEO SINGH,Independent
451,199,Khanpur,SURESH,Indian National Congress,2265,30956,NARENDRA NAGAR,Bharatiya Janata Party,Rajasthan,NARENDRA NAGAR,Bharatiya Janata Party
452,151,Kherwara ,NANALAL AHARI,Bharatiya Janata Party,24991,11166,NANA LAL AHARI,Bharatiya Janata Party,Rajasthan,DAYARAM PARMAR,Indian National Congress
453,31,Khetri,DHARMPAL,Bharatiya Janata Party,957,7850,POORANMAL SAINI,Bahujan Samaj Party,Rajasthan,JITENDRA SINGH,Indian National Congress
454,110,Khinwsar,SAVAI SINGH CHAUDHARY,Indian National Congress,16948,23020,HANUMAN BENIWAL,Independent,Rajasthan,HANUMAN BENIWAL,Rashtriya Loktantrik Party
455,52,Kishan pole,MOHAN LAL GUPTA,Bharatiya Janata Party,8770,9685,MOHAN LAL GUPTA,Bharatiya Janata Party,Rajasthan,AMIN KAGZI,Indian National Congress
456,194,Kishanganj ,LALIT MEENA,Bharatiya Janata Party,14136,12982,LALIT KUMAR,Bharatiya Janata Party,Rajasthan,NIRMALA SAHARIYA,Indian National Congress
457,98,Kishangarh,VIKASH CHOUDHARY,Bharatiya Janata Party,17452,31074,BHAGIRATH CHOUDHARY,Bharatiya Janata Party,Rajasthan,SURESH TAK,Independent
458,60,Kishangarh bas,RAMHET SINGH YADAV,Bharatiya Janata Party,9916,14816,RAMHET SINGH YADAV,Bharatiya Janata Party,Rajasthan,DEEPCHAND,Bahujan Samaj Party
459,15,Kolayat,POONAM KANWAR BHATI,Bharatiya Janata Party,11016,1134,BHANWAR SINGH,Indian National Congress,Rajasthan,BHANWAR SINGH BHATI,Indian National Congress
460,189,Kota North,PRAHLAD GUNJAL,Bharatiya Janata Party,17945,14861,PRAHLAD GUNJAL,Bharatiya Janata Party,Rajasthan,SHANTI KUMAR DHARIWAL,Indian National Congress
461,190,Kota South,RAKHI GAUTAM,Indian National Congress,7534,49439,OM BIRLA,Bharatiya Janata Party,Rajasthan,SANDEEP SHARMA,Bharatiya Janata Party
462,40,Kotputli ,MUKESH GOYAL,Bharatiya Janata Party,13876,24687,RAJENDRA SINGH YADAV,Indian National Congress,Rajasthan,RAJENDRA SINGH YADAV,Indian National Congress
463,174,Kumbhalgarh,GANESH SINGH,Indian National Congress,18443,27606,SURENDRA SINGH RATHORE,Bharatiya Janata Party,Rajasthan,SURENDRA SINGH RATHORE,Bharatiya Janata Party
464,166,Kushalgarh ,BHIMA BHAI,Bharatiya Janata Party,18950,708,BHIMA BHAI,Bharatiya Janata Party,Rajasthan,RAMILA KHADIYA,Independent
465,33,Lachhmangarh,DINESH JOSHI,Bharatiya Janata Party,22052,10723,GOVIND SINGH DOTASARA,Indian National Congress,Rajasthan,GOVIND SINGH DOTASARA,Indian National Congress
466,106,Ladnun,MANOHAR SINGH,Bharatiya Janata Party,12947,23051,MANOHAR SINGH,Bharatiya Janata Party,Rajasthan,MUKESH KUMAR BHAKAR,Indian National Congress
467,191,Ladpura ,GULANAJ GUDDU,Indian National Congress,21656,16206,BHAWANI SINGH RAJAWAT,Bharatiya Janata Party,Rajasthan,KALPANA DEVI,Bharatiya Janata Party
468,89,Lalsot ,RAMBILAS,Bharatiya Janata Party,9074,491,DR. KIRODI LAL,National People’s Party,Rajasthan,PARSADI LAL,Indian National Congress
469,123,Lohawat,GAJENDRA SINGH,Bharatiya Janata Party,40876,19814,GAJENDRA SINGH,Bharatiya Janata Party,Rajasthan,KISANA RAM VISHNOI,Indian National Congress
470,130,Luni,JOGARAM PATEL,Bharatiya Janata Party,9157,35940,JOGARAM PATEL,Bharatiya Janata Party,Rajasthan,MAHENDRA VISHNOI,Indian National Congress
471,16,Lunkaransar,VIRENDRA BENIWAL,Indian National Congress,10853,4817,MANIK CHAND SURANA,Independent,Rajasthan,SUMIT GODARA,Bharatiya Janata Party
472,86,Mahuwa,RAJENDRA,Bharatiya Janata Party,9985,15658,OMPRAKASH,Bharatiya Janata Party,Rajasthan,OM PRAKASH HUDLA,Independent
473,113,Makrana,JAKIR HUSSAIN GESAWAT,Indian National Congress,1488,11778,SHREERAM BHINCHAR,Bharatiya Janata Party,Rajasthan,ROOPA RAM,Bharatiya Janata Party
474,94,Malpura,RANVEER PHALWAN,Rashtriya Lok Dal,29786,40221,KANHIYALAL,Bharatiya Janata Party,Rajasthan,KANHIYA LAL,Bharatiya Janata Party
475,54,Malviya Nagar,DR. ARCHANA SHARMA,Indian National Congress,1704,48718,KALICHARAN SARAF,Bharatiya Janata Party,Rajasthan,KALICHARAN SARAF,Bharatiya Janata Party
476,178,Mandal,PRADHYUMAN SINGH (HAPPY BANNA),Independent,8065,41434,KALU LAL GUJAR,Bharatiya Janata Party,Rajasthan,RAMLAL JAT,Indian National Congress
477,183,Mandalgarh ,VIVEK DHAKAR,Indian National Congress,10333,18540,KIRTIKUMARI,Bharatiya Janata Party,Rajasthan,GOPAL LAL SHARMA,Bharatiya Janata Party
478,28,Mandawa,KUM. RITA  CHOUDHARY,Indian National Congress,2346,17118,NARENDRA KUMAR,Independent,Rajasthan,NARENDRA KUMAR,Bharatiya Janata Party
479,200,Manohar thana,KAILASH CHAND,Indian National Congress,21869,34666,KANWAR LAL,Bharatiya Janata Party,Rajasthan,GOVIND PRASAD,Bharatiya Janata Party
480,119,Marwar junction,KESARAM CHOUDHARY,Bharatiya Janata Party,251,13653,KESARAM CHOUDHARY,Bharatiya Janata Party,Rajasthan,KHUSHVEER SINGH,Independent
481,104,Masuda,SUSHIL KANWAR,Bharatiya Janata Party,3374,4475,SUSHIL KANWAR ,Bharatiya Janata Party,Rajasthan,RAKESH PAREEK,Indian National Congress
482,154,Mavli,PUSHKAR LAL DANGI,Indian National Congress,26978,23465,DALI CHAND DANGI,Bharatiya Janata Party,Rajasthan,DHARMNARAYAN JOSHI,Bharatiya Janata Party
483,111,Merta ,LAXMAN RAM MEGHWAL,Independent,12835,35549,SUKHARAM,Bharatiya Janata Party,Rajasthan,INDIRA DEVI,Rashtriya Loktantrik Party
484,61,Mundawar,LALIT YADAV,Bahujan Samaj Party,17602,29417,DHARAM PAL CHOUDHARY,Bharatiya Janata Party,Rajasthan,MANJEET DHARAMPAL CHOUDHARY,Bharatiya Janata Party
485,74,Nadbai ,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,4094,14556,KRISHNENDRA KAUR (DEEPA),Bharatiya Janata Party,Rajasthan,JOGINDER SINGH AWANA,Bahujan Samaj Party
486,71,Nagar,NEM SINGH,Samajwadi Party,25467,8113,ANITA,Bharatiya Janata Party,Rajasthan,WAJIB ALI,Bahujan Samaj Party
487,109,NAGAUR,HABIBUR REHMAN ASHRAFI LAMBA,Indian National Congress,13008,5855,HABIBUR RAHMAN ASHRAFI LAMBA,Bharatiya Janata Party,Rajasthan,MOHAN RAM CHOUDHARY,Bharatiya Janata Party
488,102,Nasirabad,RAMNARAIN,Indian National Congress,16684,28900,SANWAR LAL,Bharatiya Janata Party,Rajasthan,RAMSWAROOP LAMBA,Bharatiya Janata Party
